created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Mon Sep 11 23:00:59 +0000 2023,1.70137E+18,Bengkel Resmi Toyota Ini Berencana Hadirkan Layanan Pengecasan Mobil Listrik Berjalan Pengembangan ini selaras dengan peningkatan kendaraan listrik di Indonesia,0,0,0,0,in,1.39057E+18,1.70133E+18,Dirjasu6,https://twitter.com/Dirjasu6/status/1701325980500164750
Mon Sep 11 22:00:56 +0000 2023,1.70136E+18,Pemprov DKI Permudah PNS Beli Kendaraan Listrik,0,0,0,0,in,249095742,1.70128E+18,bramptonRBS,https://twitter.com/bramptonRBS/status/1701275817861587197
Mon Sep 11 20:04:57 +0000 2023,1.70133E+18,KITA LEBIH BUTUH BERAS DRPD INFRASTRUKTUR DAN KENDARAAN LISTRIK?  Jokowi Ungkap Rencana Impor Beras Lagi Tahun Depan https://t.co/45pMVVuLIz,0,3,0,0,in,1.02532E+18,1.70127E+18,karinea,https://twitter.com/karinea/status/1701265738064089108
Mon Sep 11 16:45:37 +0000 2023,1.70128E+18,gagasan bahwa kendaraan listrik menghasilkan emisi lebih tinggi dibandingkan kendaraan bensin/diesel jika ditenagai oleh listrik berbahan bakar fosil telah dibantah oleh banyak penelitian ilmiah. https://t.co/uEJokkPwpj,0,0,0,1,in,18071520,1.70123E+18,antaranews,https://twitter.com/antaranews/status/1701232033651904835
Mon Sep 11 16:05:34 +0000 2023,1.70127E+18,⠀⠀⠀ 𖥻 ini kendaraan listrik kayak setan pas lewat cuma angin doang 😭 ⠀⠀⠀,0,0,0,0,in,41730943,1.70123E+18,VIVAcoid,https://twitter.com/VIVAcoid/status/1701230782059106747
Mon Sep 11 13:51:38 +0000 2023,1.70123E+18,Agus Gumiwang Kartasasmita memastikan pemerintahan Presiden Jokowi mengawal pemenuhan kebutuhan nikel yang terus meningkat seiring dengan pengembangan industri kendaraan listrik.  https://t.co/DiQkr9TW8e,0,0,1,8,in,2392460208,1.70123E+18,jawapos,https://twitter.com/jawapos/status/1701225833044607281
Mon Sep 11 13:46:40 +0000 2023,1.70123E+18,Kemenperin Targetkan TKDN Kendaraan Listrik 80 Persen di 2030  https://t.co/7fczbM8Iu4,0,0,0,0,in,8.74558E+17,1.70122E+18,validnewsid,https://twitter.com/validnewsid/status/1701222950853366114
Mon Sep 11 13:27:00 +0000 2023,1.70123E+18,United E-Motor  Merek Lokal Indonesia Akan Buka Pabrik Kendaraan Listrik di Malaysia  https://t.co/crUykYbGoo,0,0,0,0,in,153718689,1.70118E+18,muh_syafri,https://twitter.com/muh_syafri/status/1701217426548072687
Mon Sep 11 13:15:33 +0000 2023,1.70122E+18,Smelter nikel baru diharapkan bisa dorong ekosistem kendaraan listrik dengan hilirisasi nikel. https://t.co/iPUyPkLWpb,0,0,0,0,in,611082711,1.70119E+18,alexmarten4,https://twitter.com/alexmarten4/status/1701193753892184506
Mon Sep 11 12:53:36 +0000 2023,1.70122E+18,@kurawa Mantap setelah hampir semua pakai kendaraan listrik 👏👏👏,0,0,0,0,in,1.68352E+18,1.70119E+18,__longbaobao,https://twitter.com/__longbaobao/status/1701192174346645529
Mon Sep 11 11:45:38 +0000 2023,1.7012E+18,Kendaraan listrik adalah langkah positif untuk mengurangi polusi udara,0,0,0,0,in,2199779503,1.70118E+18,CiputCi,https://twitter.com/CiputCi/status/1701190130395197839
Mon Sep 11 11:43:49 +0000 2023,1.7012E+18,@narkosun BBM bukan kebutuhan primer Pak Jokowi udh mau menghapus subsidi secara perlahan dan mengganti ke kendaraan listrik,0,0,0,0,in,1.171E+18,1.70118E+18,AsosiasiNikel,https://twitter.com/AsosiasiNikel/status/1701177571810082990
Mon Sep 11 11:19:32 +0000 2023,1.70119E+18,Insentif Kendaraan Listrik Sangat Penting https://t.co/zLhbLuLI1j lewat @Berita Moneter Dan Keuangan,0,0,0,0,in,1.46665E+18,1.70118E+18,media_nikel,https://twitter.com/media_nikel/status/1701177512095846855
Mon Sep 11 11:13:15 +0000 2023,1.70119E+18,Gak kayak disini malah disuruh beli kendaraan listrik wkwkwkwk,0,0,0,0,in,1.44381E+18,1.69935E+18,Profesor_Zonk,https://twitter.com/Profesor_Zonk/status/1701161207036772512
Mon Sep 11 11:05:08 +0000 2023,1.70119E+18,@kurawa Yg tereak2 biar kendaraan listrik laku...mana2..,0,2,4,13,in,239183027,1.70109E+18,nitz_gokil,https://twitter.com/nitz_gokil/status/1701158088643084351
Mon Sep 11 11:02:05 +0000 2023,1.70119E+18,Korps Lalu Lintas Polri baru-baru ini mengusulkan penggunaan kendaraan listrik untuk patroli anggota mereka,0,0,0,1,in,238091066,1.70116E+18,InvestorID,https://twitter.com/InvestorID/status/1701157409614594309
Mon Sep 11 10:38:18 +0000 2023,1.70118E+18,Kendaraan Listrik jadi Sorotan di KTT ASEAN,0,0,0,0,in,1.56402E+18,1.70114E+18,tinewssofficial,https://twitter.com/tinewssofficial/status/1701135123994071142
Mon Sep 11 10:27:11 +0000 2023,1.70118E+18,Telat Kembangkan Kendaraan Listrik,0,0,0,1,in,3024156987,1.70113E+18,otodriver,https://twitter.com/otodriver/status/1701131418120737264
Mon Sep 11 10:15:14 +0000 2023,1.70118E+18,Kemenperin Terbitkan Roadmap Pengembangan Kendaraan Listrik Berbasis Baterai  https://t.co/VkRJizprXW https://t.co/UNqEUW094v,1,0,0,1,in,7.90585E+17,1.70112E+18,weclfare,https://twitter.com/weclfare/status/1701124922347815270
Mon Sep 11 10:14:59 +0000 2023,1.70118E+18,Kemenperin Terbitkan Roadmap Pengembangan Kendaraan Listrik Berbasis Baterai  https://t.co/27PzAQDphO https://t.co/WYQhNAvpJX,0,0,0,0,in,333877701,1.70112E+18,BisniscomJatim,https://twitter.com/BisniscomJatim/status/1701123800820269190
Mon Sep 11 09:50:55 +0000 2023,1.70117E+18,@renita_hartini @nadeuxx @AREAJULID Yg punya tambang batu bara pemasok PLTU tuh yg punya usaha kendaraan listrik,0,0,0,0,in,1.3913E+18,1.70112E+18,firstindomagz,https://twitter.com/firstindomagz/status/1701123541327089666
Mon Sep 11 09:10:12 +0000 2023,1.70116E+18,@HeryIdris5 Kendaraan listrik itu wajib diperhitungkan https://t.co/tfMBhCjIBS,0,0,0,2,in,1.59257E+18,1.70112E+18,Xone_ofc,https://twitter.com/Xone_ofc/status/1701121065433678218
Mon Sep 11 08:57:48 +0000 2023,1.70116E+18,@RadioElshinta Bukannya itu mobil sedang bertugas ? Bertugas menambah polusi. Biar yakin bahwa butuh kendaraan listrik untuk solusinya mudahnya *kata pejabat yg main usaha kendaraan listrik 🤣,0,1,0,0,in,475624418,1.70112E+18,SahabatPLNJkt,https://twitter.com/SahabatPLNJkt/status/1701119289686978914
